,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
471,台灣半導體研究中心-113年研發替代役-Cell-based IC設計CAD工程師(計畫人員)_設計服務組(112-053) ,11/16,待遇面議,財團法人國家實驗研究院,全職,新竹市展業一路26號
472,AI人工智慧研發工程師 ,11/16,待遇面議,東捷資訊服務股份有限公司,全職,台北市南港區三重路19之8號5樓
473,Firmware Technical Manager/Engineer ,11/17,待遇面議,光程研創股份有限公司,全職,新竹縣竹北市竹北里12鄰台元一街6號8樓之1
474,AI development engineer-Tainan ,11/15,待遇面議,亞達科技股份有限公司,全職,台南市善化區大利三路5號3樓
475,【台北／Intern】Security Engineer 資安工程師 ,11/09,"部分工時(月薪)25,000元以上",如梭世代股份有限公司,全職,台北市大安區
476,風險_個金風險規劃人員 ,11/16,待遇面議,中國信託商業銀行股份有限公司,全職,台北市南港區經貿二路168號(中國信託南港總部)
477,Optical Engineer ,11/17,待遇面議,立普思股份有限公司,全職,台北市內湖區瑞光路100號2樓
478,生產測試軟體開發工程師 ,09/15,待遇面議,奔馳科技股份有限公司,全職,新竹縣竹北市縣政五街32巷8號9樓
479,IT Software Engineer ,11/13,待遇面議,沛星互動科技股份有限公司,全職,台北市信義區松仁路123號6樓
480,測試工程師 ,11/16,"月薪38,000~80,000元",新穎資訊有限公司,全職,台中市北區臺灣大道二段360號
481,系統實習生 Software Intern ,11/15,時薪176元,普匯金融科技股份有限公司,全職,台北市中山區松江路111號11樓之1
482,程式系統工程師 ,11/15,"月薪30,000~40,000元",柏昇企業股份有限公司,全職,新北市中和區中板路35號3樓
483,多媒體工程師(S4M1) ,11/15,待遇面議,聯詠科技股份有限公司,全職,新竹市創新一路1-2號
484,後端工程師(資深工程師 薪資另議) ,11/07,"月薪42,000~58,000元",愛吠的狗娛樂股份有限公司,全職,高雄市鹽埕區大勇路98號3樓
485,區塊鏈軟體測試工程師 ,11/13,"月薪50,000~65,000元",區塊科技股份有限公司,全職,台北市中山區松江路309號11樓
486,軟體工程師 ,11/09,"月薪42,000元以上",優安互連股份有限公司,全職,新北市林口區仁愛路二段502號13樓
487,研發設計類 - 自動化程式開發工程師 ,11/17,待遇面議,華星光通科技股份有限公司,全職,桃園市中壢區合江路6號
488,2023年研發替代役-SSD軟體開發工程師 0201 ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
489,【擴編】系統工程師 ,11/15,"月薪40,000元以上",騰雲運算股份有限公司,全職,新北市新莊區新北大道四段185號5樓
490,全端工程師(儲備幹部) ,10/11,"月薪68,000~95,000元",興創知能股份有限公司,全職,台北市松山區南京東路四段16號5樓A1室
491,Experienced Algorithmic Trader ,11/17,"年薪1,500,000元以上",金原投資有限公司,全職,台北市大安區仁愛路四段151巷
492,63180-自動化測試軟體工程師 ,11/14,待遇面議,QNAP_威聯通科技股份有限公司,全職,新北市汐止區中興路22號
493,【南科】軟體開發部-(Senior) Embedded Linux Engineer ,11/16,待遇面議,直得科技股份有限公司,全職,台南市新市區南部科學園區大利一路3號
494,生成式 AI 工程師 ,10/27,待遇面議,日崚有限公司,全職,新北市新店區北新路三段221號6樓（台北矽谷二期）
495,軟體設計工程師V0303 ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
496,車用電子深度學習與系統開發整合工程師 ,11/16,待遇面議,先進車系統股份有限公司,全職,新竹縣竹北市高鐵二路32號
497,數據分析師(台北) ,11/13,"月薪40,000元以上",凱發科技股份有限公司,全職,台北市南港區三重路19-13號E棟3樓
498,RPA資訊工程師 ,11/14,待遇面議,泰詠電子股份有限公司,全職,新竹市香山區牛埔東路480號
499,Technical Service Engineer (Japanese) ,11/15,待遇面議,沛星互動科技股份有限公司,全職,台北市信義區松仁路123號6樓
500,車用軟體系統工程師(新竹) ,11/14,待遇面議,富智捷股份有限公司,全職,新竹市科學園區創新二路一號3樓
