,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
1519,系統開發工程師 - 台北或台中 ,11/15,待遇面議,迪思科高科技股份有限公司,全職,新北市新店區寶橋路
1520,後端工程師 ,11/14,待遇面議,博弘雲端科技股份有限公司,全職,台北市中山區樂群二路267號6樓之9
1521,【R&D】資料科學工程師 (AI) ,11/16,"月薪40,000元以上",奧丁丁集團英屬開曼群島商台灣子公司_歐簿客科技股份有限公司,全職,新北市新店區北新路三段217號 3樓
1522,資深數據分析師(大數據發展事業處) ,11/17,待遇面議,55688集團_台灣智慧生活網股份有限公司,全職,新北市三重區重新路五段609巷2號7樓之1
1523,【風險諮詢】數位轉型服務-數據分析資深經理 ,11/16,待遇面議,勤業眾信聯合會計師事務所,全職,台北市信義區松仁路100號20樓
1524,Senior QA Engineer 資深軟體測試工程師 ,11/16,待遇面議,台灣資信股份有限公司,全職,台北市信義區信義路五段7號45樓C區
1525,測試助理工程師 (應屆畢業生、無經驗可) ,11/13,"月薪30,000~40,000元",思創數位科技股份有限公司,全職,新北市中和區連城路168號6樓之1
1526,後端工程師(高雄地區) ,11/14,待遇面議,福能股份有限公司,全職,高雄市左營區明誠二路491號6樓之1
1527,電子部-MCU韌體工程師 ,11/16,待遇面議,美隆工業股份有限公司,全職,桃園市桃園區幸福路99號
1528,軟體開發工程師/設計驗證工程師 0608B ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
1529,軟體研發工程師(軟體研發部門) ,10/23,"月薪26,400~55,000元",天下數位科技股份有限公司,全職,台中市北區漢口路四段367號11樓
1530,資訊工程師 ,11/15,待遇面議,璿元科技股份有限公司,全職,台南市新市區科學園區內
1531,自動化專案工程師 ,11/15,待遇面議,天宇工業股份有限公司,全職,新北市新店區民權路130巷8號5樓
1532,人工智慧系統開發工程師 ,11/16,"月薪54,000~110,000元",馬森科技股份有限公司,全職,台中市南屯區大墩五街306號
1533,Senior Software Engineer (SfM / 3D vSLAM) ,11/15,"年薪1,600,000~2,400,000元",HOMEE AI_合宜家居股份有限公司,全職,台北市中山區樂群二路187號7樓
1534,測試工程師 ,11/13,"月薪35,000~60,000元",陞達科技股份有限公司,全職,台北市內湖區洲子街88號6樓
1535,軟體後端工程師(SWRD) ,11/13,待遇面議,瑞祺電通股份有限公司,全職,新北市新莊區建國一路308號11樓
1536,程式設計開發工程師 ,11/15,"月薪40,000~70,000元",佰龍機械廠股份有限公司,全職,新北市瑞芳區頂坪路8號
1537,Sr. Full-Stack Engineer (Roo) ,11/14,待遇面議,Gogolook_走著瞧股份有限公司,全職,台北市中正區羅斯福路2段
1538,自動化測試工程師/軟件工程師Test Automation Engineer/Software Engineer ,11/17,待遇面議,美商安瑞科技股份有限公司,全職,台北市大安區敦化南路二段69號13樓
1539,(2210)TE測試軟體工程師/資深工程師 ,11/13,待遇面議,神準科技股份有限公司,全職,桃園市龜山區復興三路500號(近林口長庚)
1540,軟體工程師 ,11/14,待遇面議,雲馥數位股份有限公司,全職,新北市三重區新北市三重區重新路四段12號 (近捷運菜寮站及三重站）
1541,【諮詢服務】數據分析、數位化與新興科技諮詢 - 資深顧問 ,11/14,"月薪56,000元以上",安永聯合會計師事務所,全職,台北市信義區基隆路一段333號9樓(110)
1542,Senior DevOps Engineer ,11/15,待遇面議,沛星互動科技股份有限公司,全職,台北市信義區松仁路123號6樓
1543,"Software Engineer, QA Automation ",11/15,待遇面議,沛星互動科技股份有限公司,全職,台北市信義區松仁路123號6樓
1544,(GS)資料科學家-商業分析師 ,11/14,"月薪37,000~55,000元",宥豪數位股份有限公司,全職,台北市中山區中山北路三段32號2樓
1545,.NET Software Developer ,11/09,待遇面議,Edenred_新加坡商宜睿智慧股份有限公司台灣分公司,全職,台北市信義區信義路五段106號2樓A1室
1546,QA Engineer - AI Coding Assistant ,11/16,時薪200~300元,瞬聯科技股份有限公司,兼職 - 長期工讀、短期工讀,台北市大安區和平東路二段339號11樓
1547,"Senior Software Engineer, Backend Development ",11/15,待遇面議,沛星互動科技股份有限公司,全職,台北市信義區松仁路123號6樓
1548,【視訊面談】資訊_軟體工程師（RPA 軟體開發工程師） ,11/13,待遇面議,中信金控_台灣人壽保險股份有限公司,全職,台北市南港區經貿二路188號(中國信託金融園區)
1549,Python程式設計師 ,11/17,待遇面議,飛資得資訊股份有限公司,全職,台北市內湖區內湖路一段91巷40號
1550,ERP工程師 ,10/06,待遇面議,敦吉科技股份有限公司,全職,台北市內湖區內湖路一段120巷8號
1551,【採線上面談】Senior Data Engineer 資深資料工程師 ,11/09,"月薪80,000~110,000元",新加坡商鈦坦科技股份有限公司台灣分公司,全職,台北市南港區台北市南港區園區街3之1號11樓之1（南港軟體園區G棟）
1552,I186 DevOps工程師 ,11/17,待遇面議,台灣大哥大股份有限公司,全職,台北市大安區
1553,QA測試人員 ,11/15,"月薪35,000~50,000元",享奕軟體開發有限公司,全職,台中市北區立人里陝西路108號3樓之1
1554,[AI] 資深軟體工程師 / Senior Software Engineer (士林) ,11/15,"月薪70,000~200,000元",Inventec_英業達股份有限公司,全職,台北市士林區承德路四段166號
1555,Front-End Web Developer (網頁前端工程師) ,11/12,"月薪35,000~60,000元",研鼎智能股份有限公司,全職,台北市內湖區港墘路200號4樓
1556,【諮詢服務】數據分析、數位化與新興科技諮詢 - 顧問 ,11/14,"月薪45,000元以上",安永聯合會計師事務所,全職,台北市信義區基隆路一段333號9樓(110)
1557,工研院資通所_5G組網軟體工程師(K202) ,11/13,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮中興路四段195號
1558,2024研發替代役-雲端儲存及5G設備軟韌體開發驗證工程師 - J2252 ,11/16,待遇面議,廣達電腦股份有限公司,全職,桃園市龜山區文化二路211號
1559,網路爬蟲實習生 ,11/16,時薪200~220元,大數軟體有限公司,兼職 - 長期工讀,台北市中山區玉門街1號
1560,《天下雜誌群》數據工程師 Data Engineer ,11/13,待遇面議,天下雜誌股份有限公司,全職,台北市中山區南京東路二段139號11樓
1561,【2024 RDSS研發替代役】軟體/韌體工程師 ,11/16,待遇面議,聯發科技集團_達發科技股份有限公司,全職,新竹縣竹北市台元二街1號5樓之1
1562,商業策略分析師Business Strategy Analyst ,11/15,待遇面議,統一資訊股份有限公司,全職,台北市內湖區陽光街246號6樓
1563,FAE / 資深工程師 (國外出差職) ,11/14,待遇面議,晶宏半導體股份有限公司,全職,新竹縣竹北市
1564,J1000 商業分析師 (Sr.) Business Analysis (經營分析/數據分析) ,11/15,待遇面議,富邦媒體科技股份有限公司(富邦momo),全職,台北市內湖區洲子街96號4樓
1565,調查研究專題中心-SRDA學術調查研究資料庫 專任資訊工程師 ,09/26,"月薪39,842元以上",中央研究院_人文社會科學研究中心,全職,台北市南港區研究院路二段128號
1566,深度學習演算法工程師(新竹) ,11/07,待遇面議,英屬開曼群島商意騰科技股份有限公司台灣分公司,全職,新竹縣竹北市(高鐵新竹站旁暐順經貿大樓)
1567,(資深) 無線通訊韌體驗證開發工程師 ,11/16,待遇面議,聯發科技股份有限公司,全職,新竹縣竹北市
1568,物聯網軟體設計工程師(竹北) ,11/15,待遇面議,微電能源股份有限公司,全職,新竹縣竹北市文興路二段100號4樓
1569,資安檢測工程師（紅隊） ,10/23,"年薪1,100,000~1,600,000元",中華資安國際股份有限公司,全職,台北市中正區杭州南路一段26號8樓
1570,資深QA 測試工程師 ,11/08,"月薪60,000~100,000元",馬紹爾群島商彩虹科技股份有限公司,全職,台北市大安區敦化南路二段319號(國泰安和商業大樓)
1571,核心技術處-資深資安研發工程師 ,11/10,待遇面議,安華聯網科技股份有限公司,全職,新北市新店區北新路3段207之2號6樓
1572,(CS20)軟體應用工程師-竹北 ,09/22,待遇面議,新唐科技股份有限公司,全職,新竹縣竹北市文興路二段539號
1573,視覺檢測軟體開發工程師 ,11/14,待遇面議,廣積科技股份有限公司,全職,台南市安南區工業二路59號3樓
1574,IC 設計工程師 ,09/28,"月薪60,000元以上",阿比特電子科技股份有限公司,全職,新北市新店區北新路三段221號11樓
1575,影像AI算法工程師 (新竹) ,11/16,待遇面議,印正有限公司,全職,新竹市慈雲路118號27樓之7
1576,軟體工程師(台北市信義區)(A) ,11/15,待遇面議,鼎漢國際工程顧問股份有限公司,全職,台北市信義區松山路130號5樓
1577,資料工程師(竹科) ,11/14,"月薪36,000元以上",晶元光電股份有限公司(晶電),全職,新竹市力行路21號
1578,軟體工程師 Senior Solution Engineer ,11/11,待遇面議,艾科維股份有限公司,全職,台北市松山區南京東路五段102號2樓
1579,影像軟韌體設計工程師(S4M2) ,11/15,待遇面議,聯詠科技股份有限公司,全職,新竹市創新一路1-2號
1580,Value Engineer-Software - BSP (Board Support Package) & MSP (Manufacture Support Package) ,11/16,待遇面議,加拿大商創力網絡科技股份有限公司_LANTRONIX TECHNOLOGIES CANADA (TAIWAN) LTD.,全職,台北市大同區承德路１段40號10樓
1581,自動化測試工程師 Automation Test Engineer ,11/15,待遇面議,夢想家金融科技有限公司,全職,台北市內湖區堤頂大道二段301號7樓之一
1582,【R&D】測試工程師 ,11/16,待遇面議,奧丁丁集團英屬開曼群島商台灣子公司_歐簿客科技股份有限公司,全職,新北市新店區北新路三段217號 3樓
1583,軟韌體測試工程師(新竹) ,11/03,待遇面議,易通展科技股份有限公司,全職,新竹市東區慈雲路118號19樓之5、6
1584,【海外派駐】自動化設計資深工程師(電控)_FMBG ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,其他亞洲
1585,軟體工程師 ,11/17,待遇面議,艾普勒科技股份有限公司,全職,新竹縣竹北市嘉豐南路二段76號四樓之二
1586,專案組系統整合暨研發工程師 ,11/13,"月薪35,000~60,000元",采易資訊系統股份有限公司,全職,台中市西屯區黎明路二段895之一號
1587,網管工程師 ,11/16,待遇面議,一卡通票證股份有限公司,全職,高雄市前鎮區中安路1號4樓
1588,專案組系統整合暨研發工程師 ,11/13,"月薪35,000~60,000元",采易資訊系統股份有限公司,全職,台中市西屯區黎明路二段895之一號
1589,PA1451 軟體開發工程師/高級工程師(內湖) ,06/19,"月薪35,000~60,000元",仁寶電腦工業股份有限公司,全職,台北市內湖區瑞光路581號(114)
1590,［MKT］資深CRM數據分析師/ 資深品牌數據分析顧問 ,11/09,"年薪650,000~1,300,000元",91APP_九易宇軒股份有限公司,全職,台北市南港區八德路四段768巷5號6樓
1591,集團總部 - CRM Data Analyst (會員數據分析師) ,11/15,待遇面議,必勝客Pizza Hut/肯德基KFC_富利餐飲股份有限公司,全職,台北市中山區建國北路一段96號7樓、9樓
1592,Senior/Expert Application Engineer(W) ,09/21,待遇面議,愛德萬測試股份有限公司,全職,新竹縣湖口鄉新竹工業區光復路15號
1593,2024研發替代役-Software Engineer - J2236 ,11/16,待遇面議,廣達電腦股份有限公司,全職,桃園市龜山區文化二路211號
1594,R3 - 機率工程師 ,11/15,待遇面議,Finger Game_芬格國際股份有限公司,全職,台北市大安區敦化南路二段105號B棟26樓
1595,產品應用工程師 ,11/06,"月薪32,000~48,000元",台灣脈動股份有限公司,全職,"台中市大里區(大里軟體園區, S1智匯中心)"
1596,【擴編】嵌入式軟韌體開發工程師｜SW/FW Developer ,11/13,待遇面議,普萊德科技股份有限公司,全職,新北市新店區民權路96號11樓
1597,[AI] 資深醫療器材研發工程師 / Senior Medical Device Research Engineer (士林) ,11/15,"月薪70,000~200,000元",Inventec_英業達股份有限公司,全職,台北市士林區承德路四段166號
1598,AI / Embedded Software Lead ,10/03,"年薪600,000~1,200,000元",艾知科技股份有限公司,全職,台北市內湖區新湖三路288號ＥＦ
1599,機電控制工程師 - 工作地點：汐止－電控系統整合事業處 ,11/13,待遇面議,信邦電子股份有限公司,全職,新北市汐止區新台五路一段79號4樓之13(遠東世界中心C棟)
1600,軟體測試工程師 ,10/30,待遇面議,香港商女媧創造股份有限公司台灣分公司,全職,台北市松山區敦化北路
1601,SW_AI軟體工程師(模型訓練) ,11/15,待遇面議,宜鼎國際股份有限公司,全職,新北市汐止區大同路一段237號5樓
1602,Java 後端工程師 ,10/12,待遇面議,必礦科技股份有限公司,全職,台北市松山區八德路四段760號8樓
1603,MicroLED設備AOI研發工程師（新北中和） ,11/12,待遇面議,錼創顯示科技股份有限公司,全職,新北市中和區新北市中和區連城路268號13樓之6
1604,Senior DevOps Engineer-運維工程師 ,11/17,待遇面議,云桐科技有限公司,全職,台北市內湖區瑞光路408號8樓之1
1605,Product Manager - Business Success Squad 產品經理 ,11/15,待遇面議,Pinkoi_香港商果翼科技股份有限公司台灣分公司,全職,台北市大同區承德路
1606,台灣半導體研究中心-嵌入式系統應用工程師(計畫人力)_設計服務組(112-020) ,11/16,待遇面議,財團法人國家實驗研究院,全職,新竹市展業一路26號
1607,數據分析實習生(Data Analytics Engineer Intern)-長期實習生 ,11/13,時薪176~250元,衛利生物科技股份有限公司,全職,新北市新店區北新路3段219號15樓
1608,數據分析實習生(Data Analytics Engineer Intern)-長期實習生 ,11/13,時薪176~250元,衛利生物科技股份有限公司,全職,新北市新店區北新路3段219號15樓
1609,電腦視覺工程師（Computer Vision Engineer） ,11/14,待遇面議,創星物聯科技股份有限公司,全職,台北市中山區民權東路二段46號3樓
1610,音訊演算法工程師 (Audio Algorithm Engineer) ,11/07,待遇面議,英屬開曼群島商意騰科技股份有限公司台灣分公司,全職,新竹縣竹北市(高鐵新竹站旁暐順經貿大樓)
1611,資安系統工程師【週休二日，年終獎金/福利佳】 ,11/15,"月薪47,000元以上",欣盟科技有限公司,全職,新竹縣竹北市嘉豐十一路1段100號4F-2
1612,【台中】Information Security Analyst 資安事件分析師 ,11/09,"月薪40,000元以上",如梭世代股份有限公司,全職,台中市西屯區
1613,A01-IC測試程式開發工程師/自動化測試機台應用工程師* ,11/16,"月薪35,000元以上",惇智科技股份有限公司,全職,高雄市前鎮區復興四路12號2樓之16
1614,Python程式設計工程師（學期實習） ,11/03,待遇面議,宥倍實業股份有限公司,兼職 - 長期工讀,高雄市橋頭區新莊路保金巷11號
1615,軟體工程師 ,11/06,"月薪38,000元以上",智行股份有限公司,全職,台北市中正區博愛路52號9樓
1616,RD_Tanner PDK - Design Kit Development Engineer ,11/14,待遇面議,Siemens EDA_愛爾蘭商西門子電子設計自動化股份有限公司台灣分公司,全職,新竹市
1617,網站後端工程師 ,11/14,待遇面議,未來巢科技股份有限公司,全職,台北市信義區松德路65號9樓之5
1618,(小港廠)智慧製造－數據分析師【擴編】 ,11/14,"月薪40,000~55,000元",晉瑜企業股份有限公司,全職,高雄市小港區大業南路34號
1619,雲端工程師 Cloud Engineer_AIC ,11/14,待遇面議,宏碁股份有限公司,全職,台北市大安區
1620,SSD 韌體開發工程師0510-台北辦公室 ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,新北市板橋區新北市板橋區民生路一段3號 正隆廣場辦公大樓
1621,C-*流通產業*系統開發/維護工程師（台北/台中） ,11/14,"月薪34,000~60,000元",鼎新電腦股份有限公司,全職,台中市大里區中興路一段161號
1622,AOI自動化控制工程師 ,11/10,待遇面議,悟智股份有限公司,全職,台中市西屯區科園路19號415室(中科 中興大學育成中心)
1623,System Programmer ,11/17,待遇面議,美商勞倫斯科技股份有限公司台灣分公司,全職,台中市西屯區
1624,軟體/韌體工程師 ,11/13,"月薪50,000元以上",創客應用技術有限公司,全職,台北市信義區信義路五段5號台北世貿中心4A09
1625,數位IC設計工程師 (CAD engineer) ,11/01,待遇面議,DIGWISE_崛智科技股份有限公司,全職,新竹縣竹北市環科一路21號8樓之3
1626,軟體工程師 ,11/10,"月薪30,000~38,000元",中程資訊顧問有限公司,全職,台中市沙鹿區西屯路1-20號
1627,研發類-Drone/AMR(Autonomous Mobile Robot) ROS Sr. Engineer 機器人操作系統開發資深工程師 (SBG) ,11/15,待遇面議,中強光電股份有限公司,全職,新竹市力行路11號
1628,【2024 RDSS研發替代役】數位IC設計工程師-竹北 ,11/16,待遇面議,聯發科技集團_達發科技股份有限公司,全職,新竹縣竹北市台元二街1號5樓之1
1629,技術支援工程師(三班制) ,09/22,"月薪35,000~55,000元",睿訊有限公司,全職,台北市內湖區洲子街88號5樓
1630,後端工程師 Senior Backend Engineer ,11/14,"月薪90,000~180,000元",肯狄科研有限公司,全職,台北市信義區松仁路97號
1631,工程師 ,11/13,"月薪45,000~50,000元",洋聲股份有限公司,全職,新北市新店區
1632,【資訊板塊】QA/QC工程師(數數發， DDT)(台中) ,11/17,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,全職,台中市烏日區
1633,AI R&D Data Intern (Visual Document Intelligence) ,11/10,"日薪2,000元",美商昇迪凡科技術有限公司台灣分公司,兼職,台北市信義區忠孝東路五段68號19樓
1634,系統工程師(有薪病假/生日假/特殊節日提早下班/小暑假/駐點按摩師) ,11/16,待遇面議,唯數娛樂科技股份有限公司,全職,台北市中正區延平南路189號5樓
1635,【薪優】AI工程師(影像辯識) ,11/15,待遇面議,中華工程股份有限公司,全職,台北市松山區東興路12號6樓
1636,【開發金控】 風管處_Reg Tech engineer ,11/02,待遇面議,中華開發金融控股股份有限公司(凱基證券)(凱基銀行)(中華開發資本),全職,台北市松山區敦化北路135號
1637,Edge AI人工智慧(AI)研發工程師 ,11/13,"月薪32,000元以上",上盈通訊股份有限公司,全職,新竹縣寶山鄉雙溪村園區二路48號3樓(新竹科學園區)
1638,【研發部】軟體工程師 (無經驗可/享久任獎金五萬元及提供租屋津貼或交通津貼) ,11/15,待遇面議,易發精機股份有限公司,全職,桃園市中壢區自強四路3之2號
1639,Auto QA Intern/自動化QA實習生 ,10/18,待遇面議,Nogle Taiwan Limited_諾傑股份有限公司,兼職 - 長期工讀、短期工讀,台北市信義區松仁路105號7樓
1640,Application Engineer ,11/01,待遇面議,美商世紀新訊股份有限公司台灣分公司,全職,台北市中山區中山北路二段46號7樓之1
1641,PC BASE軟體工程師 ,11/15,"月薪45,000~60,000元",華創應用有限公司,全職,桃園市龍潭區烏林里工二路一段187號(1樓)
1642,語音與音訊演算法工程師 (Speech and Audio Algorithm Engineer)_台北 ,11/07,待遇面議,英屬開曼群島商意騰科技股份有限公司台灣分公司,全職,新北市新店區中興路二段
1643,DevOps 運維工程師 ,11/13,"月薪60,000~85,000元",致達數位科技有限公司,全職,台北市大安區敦化南路一段
1644,Senior Backend Engineer 後端軟體工程師 ,11/13,待遇面議,捷絡生物科技股份有限公司,全職,新竹縣竹北市生醫五路66之5號
1645,網頁後端工程師 ,11/15,待遇面議,工智聯科技股份有限公司,全職,新北市土城區忠承路101號12樓(永寧站2號出口)
1646,量化策略與金融大數據工程師 ,11/16,"月薪40,000~150,000元",全富數位有限公司,全職,台中市北區崇德路一段631號17樓之3
1647,電源工程師 ,11/14,"月薪70,000~100,000元",立棠科技有限公司,全職,台北市中山區建國北路二段33號14樓之7
1648,生理訊號處理工程師 ,11/15,待遇面議,慶旺科技股份有限公司,全職,新北市五股區五權三路25號8樓
1649,雲端基礎設施系統與平台事業部-自動化測試工程師 (CES-電動車) ,11/14,待遇面議,光寶科技股份有限公司,全職,新北市新莊區思源路555號
1650,AI/ML/超自動化 人員 ,11/16,待遇面議,臺灣證券交易所股份有限公司,全職,台北市信義區
1651,"資深全端工程師 Sr. Full-Stack Engineer, VSX ",11/15,待遇面議,ViewSonic Corporation_優派國際股份有限公司,全職,新北市中和區連城路192號9樓(235)
1652,Senior Software Engineer (NeRF) ,11/15,"年薪1,600,000~2,400,000元",HOMEE AI_合宜家居股份有限公司,全職,台北市中山區樂群二路187號7樓
1653,演算法工程師 ,11/15,"年薪1,000,000~1,200,000元",禾多移動多媒體股份有限公司,全職,台北市中山區中山北路三段47號5樓之4
1654,助理工程師 ,05/18,"月薪31,000~41,000元",傲群科技有限公司,全職,台中市西屯區朝富路213號14樓A1
1655,[PMW][WFT001] Modem Test Engineer ,11/14,待遇面議,雲景科技股份有限公司,全職,新北市新店區(依業務需求分派)
1656,RD - Software Engineer - Navigation ,11/15,待遇面議,法博智能移動股份有限公司,全職,新北市中和區中正路700號12樓之3、之4
1657,系統開發工程師 ,11/16,"月薪50,000~80,000元",元晶電子有限公司,全職,新北市三重區中正北路508巷75號
1658,5G軟體自動化驗證工程師_12377 ,11/13,待遇面議,和碩集團_和碩聯合科技股份有限公司,全職,台北市北投區立功街76號
1659,MES後端工程師 ,11/17,待遇面議,大立光電股份有限公司,全職,台中市南屯區精科路11號
1660,生產管理工程師 ,11/17,"月薪38,000元以上",錼創顯示科技股份有限公司,全職,苗栗縣竹南鎮科中路13號（新竹科學園區竹南園區）
1661,Sr. Software Engineer ,11/15,待遇面議,荷蘭商瑞力登國際有限公司台灣分公司,全職,新北市新店區寶橋路235巷121號5樓
1662,【擴編徵才】系統維運工程師(需輪班) ,11/15,"月薪50,000元以上",聯訊網路有限公司,全職,台中市西區(依照公司規定分派)
1663,Embedded Software/Firmware Engineer ,10/24,待遇面議,慧通智聯股份有限公司,全職,台北市內湖區瑞光路258巷51號8樓
1664,幼兒園陪玩老師/遊戲程式設計老師 (內湖) ,11/09,時薪200~600元,臺北市私立何氏語文短期補習班,兼職 - 長期工讀、短期工讀,台北市內湖區
1665,DevOps工程師 ,11/14,"年薪800,000~1,200,000元",醫守科技股份有限公司,全職,台北市松山區復興北路201號4樓
1666,軟體 RD工程師 ,11/15,待遇面議,竹寶智能科技股份有限公司,全職,新竹市東區力行一路1號1樓B5-8
1667,ES資料庫工程師(Elasticsearch) SRE ,11/15,待遇面議,奕特資訊有限公司,全職,台北市內湖區瑞光路631號8樓
1668,中區資訊室程式設計師（工作地點：台中慈院） ,11/16,"月薪33,500元以上",佛教慈濟醫療財團法人,全職,台中市潭子區豐興路一段66號
1669,DN-資深機械學習工程師(工作地:新竹工業區_湖口) ,11/13,待遇面議,鴻佰科技股份有限公司,全職,新竹縣湖口鄉湖口鄉光復北路16號
1670,網站開發人員 ,11/16,待遇面議,臺灣證券交易所股份有限公司,全職,台北市信義區
1671,人工智慧軟體資深工程師 ,11/13,待遇面議,研揚科技股份有限公司,全職,新北市新店區寶橋路235巷135號5樓
1672,統計分析專員 ,11/09,待遇面議,金萬林企業股份有限公司,全職,新北市汐止區新台五路1段97號30樓
1673,Web 系統開發工程師 ,11/16,"月薪40,000~60,000元",允和科技股份有限公司,全職,高雄市仁武區南勢巷2號
1674,Cocos Creator 資深遊戲開發工程師 ,11/15,待遇面議,禾向數位科技有限公司,全職,台北市松山區
1675,Switch軟韌體研發工程師 ,11/15,待遇面議,建漢科技股份有限公司,全職,新竹縣寶山鄉新竹科學工業園區園區三路99號
1676,後端PHP開發工程師 Backend Engineer ,11/17,"年薪600,000~1,050,000元",碩鋒數位科技有限公司,全職,台中市南區忠明南路789號27樓之1
1677,資深全端工程師 Senior Full-stack GPT Engineer (工作地點：台北市). ,11/13,"月薪70,000元以上",數據雲科技股份有限公司,全職,台北市大安區光復南路438號
1678,Senior Firmware Engineer ,11/14,待遇面議,英屬開曼群島商世邁科技股份有限公司台灣分公司,全職,新北市板橋區遠東路1號6樓A室
1679,軟體工程師 ,11/15,"月薪40,000~60,000元",知洋科技股份有限公司,全職,新北市新莊區中正路657之2號3樓
1680,Senior IT Developer (資深 IT 程式設計師) ,11/13,待遇面議,新加坡商威兆科技有限公司台灣分公司,全職,台北市內湖區瑞湖街
1681,水資源及農田水利-碩士級研究專員 ,11/08,待遇面議,財團法人台灣水資源與農業研究院,全職,新北市淡水區中正東路二段27-5號19樓
1682,【數據發展部】數據分析師-行銷 ,11/08,待遇面議,聯合報股份有限公司,全職,新北市汐止區大同路一段369號
1683,軟體工程師 ,11/17,"月薪35,000~55,000元",撼訊科技股份有限公司,全職,新北市汐止區新台五路一段79號7樓之7
1684,富邦投顧-金融市場數據分析人員 ,11/08,待遇面議,富邦綜合證券股份有限公司,全職,台北市大安區
1685,資料工程師 ,11/17,"月薪46,600元以上",CARMAX_車美仕股份有限公司,全職,桃園市龜山區復興三路8號
1686,資料工程師 ,11/17,"月薪46,600元以上",CARMAX_車美仕股份有限公司,全職,桃園市龜山區復興三路8號
1687,PE -Product Engineer(Calibre_mPower) ,11/15,待遇面議,Siemens EDA_愛爾蘭商西門子電子設計自動化股份有限公司台灣分公司,全職,新竹市
1688,SLAM軟體工程師 ,10/17,待遇面議,香港商女媧創造股份有限公司台灣分公司,全職,台北市松山區敦化北路
1689,研發替代役-工研院機械所-自駕車感知系統工程師(D300) ,11/13,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮中興路四段195號
1690,【台中】數據工程師 ,11/15,待遇面議,今網智慧科技股份有限公司,全職,台中市北區太原北路130號10樓
1691,RL機器學習工程師/Reinforcement Learning ,11/09,"月薪60,000~80,000元",萬達人工智慧科技股份有限公司,全職,台北市松山區民生東路三段109號10樓
1692,專案經理(5G、AI)-M6-10511 ,11/16,待遇面議,帆宣系統科技股份有限公司,全職,新竹市公道五路二段83號6樓之3
1693,61585_Quality Control Engineer (Taichung) ,11/16,待遇面議,台灣康寧顯示玻璃股份有限公司,全職,台中市西屯區中部科學園區科園路1號
1694,AI應用工程師 _ 機電事業群(南科) ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,台南市善化區環東路二段39號
1695,【寶元智造】後端工程師 ,11/17,"月薪35,000元以上",寶元數控股份有限公司,全職,台中市西屯區台灣大道二段633號6樓
1696,【G】測試軟體開發工程師 ,11/16,待遇面議,富智康國際股份有限公司(鴻海集團),全職,新北市土城區民生街4號
1697,電子工程部主管 ,11/17,"月薪65,000元以上",肯創科技股份有限公司,全職,新北市汐止區新台五路1段97號28樓之7
1698,Sr. FAE/CE ,09/18,待遇面議,矽坦時脈有限公司,全職,新北市林口區
1699,【無人機】飛行控制工程師 ,11/16,待遇面議,台灣晉陞太空股份有限公司,全職,苗栗縣竹南鎮廣源科學園區
1700,eMMC/UFS系統平台開發工程師 ,11/15,待遇面議,慧榮科技股份有限公司_SMI,全職,新竹縣竹北市台元街36號8樓之1
1701,數據助理工程師 ,11/14,"月薪28,000~35,000元",雲馥數位股份有限公司,全職,新北市三重區重新路四段12號 (近捷運菜寮站及三重站）
1702,韌體工程師(中科/台南) ,11/13,"月薪40,000~50,000元",經緯航太科技股份有限公司,全職,台中市大雅區
1703,軟體開發工程師 ,11/13,"月薪30,000~50,000元",鉮倫科技有限公司,全職,台南市永康區中華路12號12樓之5
1704,61583_Process Control Inspection Engineer 製程品質工程師 (Tainan) ,11/16,待遇面議,台灣康寧顯示玻璃股份有限公司,全職,台南市善化區
1705,【日本東京】 C#後端工程師招募（赴日本工作/線上面試/在台可應徵） ,11/14,待遇面議,株式会社シエス情報,全職,日本110-0015 東京都台東区東上野1-10-1 SK-BLD 2F
1706,System Architect/Manager ,11/17,待遇面議,新馳科技股份有限公司,全職,台北市信義區市民大道六段288號10樓之9 (松山車站)
1707,資訊副理 ,11/17,"月薪55,000~85,000元","替您錄科技股份有限公司(TGC Taiwan, Inc.)",全職,台北市松山區八德路四段760號6樓
1708,幼兒園陪玩老師/遊戲程式設計老師 (基隆市中正區) ,11/09,時薪200~600元,臺北市私立何氏語文短期補習班,兼職 - 長期工讀、短期工讀,基隆市中正區
1709,SRE (Site Reliability Engineer) ,11/16,"年薪1,500,000~3,000,000元",美商海鸚科技股份有限公司台灣分公司,全職,台北市中正區襄陽路9號21樓
1710,軟體測試工程師(台南/竹南) ,11/16,待遇面議,群創光電股份有限公司,全職,台南市新市區科學路160號/台南市新市區環西路一段3號
1711,助理工程師 ,11/16,"月薪38,000~52,000元",馬森科技股份有限公司,全職,台中市南屯區大墩五街306號
1712,前端UI / UX設計師 ,11/17,"月薪32,000~40,000元",宸揚資科股份有限公司,全職,台南市東區東門路二段297號5F
